Tree,QS,FN,,
3,6746,0.25,,
3,6718,0.25,,
3,5540,0.5,,
3,6414,0.375,,
3,5044,0.75,,
3,4841,0.875,,
3,5991,0.25,,
3,4278,0.5,,
3,5821,0.5,,
3,5799,0.25,,
3,6741,0.125,,
3,6580,0.25,,
3,5754,0.5,,
3,6704,0.25,,
3,6209,0.25,,
3,4406,0.625,,
3,6899,0.125,,
3,5609,0.375,,
3,6921,0.125,,
3,6864,0.25,,
3,4772,0.75,,
3,4673,0.875,,
3,6743,0.125,,
3,5867,0.375,,
3,5079,0.375,,
3,5368,0.625,,
3,5469,0.375,,
3,6069,0.375,,
3,6741,0.125,,
3,6743,0.125,,
3,4410,0.625,,
3,4960,0.5,,
3,5727,0.375,,
3,5268,0.375,,
3,6759,0.125,,
3,6795,0.125,,
3,6524,0.125,,
3,4833,0.875,,
3,6813,0.125,,
3,6317,0.25,,
3,6072,0.25,,
3,5590,0.375,,
3,6534,0.125,,
3,5930,0.5,,
3,5029,0.75,,
3,6414,0.25,,
3,4855,0.875,,
3,5774,0.25,,
3,4855,0.875,,
3,6478,0.375,,
3,4872,0.875,,
3,5276,0.375,,
3,4391,0.5,,
3,6534,0.125,,
3,5410,0.5,,
3,5735,0.375,,
3,6345,0.25,,
3,6767,0.125,,
3,6254,0.375,,
3,4789,0.5,,
3,6414,0.375,,
3,5385,0.625,,
3,3891,0.625,,
3,6921,0.125,,
3,4892,0.5,,
3,6813,0.125,,
3,4872,0.875,,
3,5919,0.5,,
3,6469,0.25,,
3,6534,0.125,,
3,3747,0.75,,
3,5010,0.75,,
3,6207,0.25,,
3,6524,0.125,,
3,6619,0.25,,
3,6534,0.125,,
3,6052,0.375,,
3,6458,0.375,,
3,6741,0.125,,
3,5934,0.5,,
3,3957,0.625,,
3,6534,0.125,,
3,5308,0.625,,
3,6682,0.25,,
3,6809,0.125,,
3,6509,0.25,,
3,6044,0.25,,
3,5759,0.5,,
3,5420,0.5,,
3,6628,0.25,,
3,4055,0.625,,
3,4809,0.5,,
3,6795,0.125,,
3,6599,0.25,,
3,6209,0.25,,
3,5413,0.5,,
3,5804,0.5,,
3,5012,0.75,,
3,5479,0.375,,
3,4779,0.5,,
3,5729,0.375,,
3,5479,0.625,,
3,4955,0.625,,
3,5421,0.5,,
3,4983,0.75,,
3,4975,0.625,,
3,6029,0.375,,
3,5091,0.375,,
3,6504,0.125,,
3,6424,0.25,,
3,4272,0.5,,
3,6629,0.25,,
3,3915,0.625,,
3,5159,0.75,,
3,3897,0.625,,
3,4826,0.875,,
3,3751,0.75,,
3,5157,0.75,,
3,5710,0.375,,
3,6682,0.25,,
3,5371,0.625,,
