Tree,EL,FN,,
Phylonet,153,0.5,,
Phylonet,142,0.5,,
Phylonet,221,0.625,,
Phylonet,231,0.625,,
Phylonet,190,0.5,,
Phylonet,181,0.5,,
Phylonet,273,0.625,,
Phylonet,274,0.625,,
Phylonet,155,0.5,,
Phylonet,140,0.5,,
Phylonet,110,0.375,,
Phylonet,150,0.5,,
Phylonet,150,0.5,,
Phylonet,109,0.375,,
Phylonet,107,0.375,,
Phylonet,128,0.375,,
Phylonet,143,0.5,,
Phylonet,155,0.5,,
Phylonet,158,0.625,,
Phylonet,158,0.625,,
Phylonet,158,0.5,,
Phylonet,164,0.5,,
Phylonet,183,0.625,,
Phylonet,183,0.625,,
Phylonet,153,0.5,,
Phylonet,140,0.5,,
Phylonet,109,0.375,,
Phylonet,151,0.5,,
Phylonet,151,0.5,,
Phylonet,110,0.375,,
Phylonet,106,0.375,,
Phylonet,95,0.375,,
Phylonet,150,0.5,,
Phylonet,160,0.5,,
Phylonet,119,0.375,,
Phylonet,110,0.375,,
Phylonet,178,0.5,,
Phylonet,179,0.5,,
Phylonet,287,0.625,,
Phylonet,228,0.625,,
Phylonet,198,0.5,,
Phylonet,238,0.625,,
Phylonet,238,0.625,,
Phylonet,153,0.5,,
Phylonet,128,0.375,,
Phylonet,107,0.375,,
Phylonet,95,0.375,,
Phylonet,106,0.375,,
Phylonet,110,0.5,,
Phylonet,108,0.5,,
Phylonet,107,0.375,,
Phylonet,113,0.375,,
Phylonet,132,0.5,,
Phylonet,132,0.5,,
Phylonet,224,0.625,,
Phylonet,206,0.625,,
Phylonet,156,0.5,,
Phylonet,236,0.625,,
Phylonet,236,0.625,,
Phylonet,152,0.5,,
Phylonet,107,0.375,,
Phylonet,128,0.375,,
Phylonet,113,0.375,,
Phylonet,118,0.375,,
Phylonet,93,0.25,,
Phylonet,86,0.125,,
Phylonet,138,0.375,,
Phylonet,139,0.375,,
Phylonet,372,0.75,,
Phylonet,302,0.75,,
Phylonet,262,0.625,,
Phylonet,322,0.75,,
Phylonet,322,0.75,,
Phylonet,206,0.625,,
Phylonet,171,0.5,,
Phylonet,140,0.5,,
Phylonet,106,0.375,,
Phylonet,95,0.375,,
Phylonet,93,0.25,,
Phylonet,86,0.125,,
Phylonet,112,0.25,,
Phylonet,112,0.25,,
Phylonet,328,0.75,,
Phylonet,281,0.75,,
Phylonet,229,0.625,,
Phylonet,313,0.75,,
Phylonet,313,0.75,,
Phylonet,196,0.625,,
Phylonet,149,0.5,,
Phylonet,141,0.5,,
Phylonet,95,0.375,,
Phylonet,106,0.375,,
Phylonet,118,0.375,,
Phylonet,113,0.375,,
Phylonet,101,0.375,,
Phylonet,102,0.375,,
Phylonet,449,0.875,,
Phylonet,357,0.875,,
Phylonet,327,0.75,,
Phylonet,367,0.875,,
Phylonet,367,0.875,,
Phylonet,249,0.75,,
Phylonet,224,0.625,,
Phylonet,171,0.625,,
Phylonet,147,0.5,,
Phylonet,118,0.5,,
Phylonet,113,0.375,,
